basis,n_dof,n_q_per_segment,cholesky_ok,seconds_construct,seconds_solve,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4,e_lam_mode5,e_lam_mode6,e_lam_mode7,e_lam_mode8,e_lam_mode9,e_lam_mode10
shifted_legendre,16,32,True,0.00044863694347441196,0.0008060429245233536,0.0012546798679977655,4.0048039356108704e-11,1.2352386431384756e-10,2.3965425725867064e-11,5.497185092208635e-12,2.7410278411400557e-11,1.6480623940674476e-07,1.4777193513063587e-06,0.000413114790269909,0.0012824476483788054,0.038548985639219824
integrated_legendre,16,32,True,0.0011848730500787497,0.0012521359603852034,0.002437009010463953,2.041130926391966e-10,3.3926701053256884e-10,3.876027445082958e-12,1.4109130633947142e-12,2.5933185762388426e-11,1.6480340576737986e-07,1.4777234870385049e-06,0.0004131147852160664,0.00128244765290131,0.03854898561034677
chebyshev,16,32,True,0.0003317419905215502,0.0006912429817020893,0.0010229849722236395,8.360787980246641e-12,4.703572543370525e-11,3.0592124520095807e-11,7.07273371592009e-12,2.982091401591733e-11,1.648030759896811e-07,1.4777234078689185e-06,0.0004131147865590363,0.0012824476469144605,0.03854898561562799
bspline_p3,15,30,True,0.0003684938419610262,0.0026939990930259228,0.003062492934986949,4.487887076612541e-07,1.81224970129032e-05,0.0001488116204472767,0.0006112995693459008,0.0018208051006348468,0.004504121748366542,0.009875104972300588,0.01984885185991403,0.037159669087637605,0.06485685558216915
monomial_raw,20,40,False,1.0591931641101837e-05,0.00033121416345238686,0.0003418060950934887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
monomial_orthonormalized,20,40,True,0.013996458146721125,0.0003622060175985098,0.014358664164319634,8.324142537036894e-10,3.911103671552769e-09,9.1741604596576e-09,2.4238010806691685e-08,4.500362858064575e-08,6.493406573493252e-08,1.2958363615061742e-07,4.3919956502713467e-07,4.006666352689158e-06,0.0001640849305311483
shifted_legendre,20,40,True,0.0006643161177635193,0.0011658489238470793,0.0018301650416105986,4.260531739143073e-10,1.228010501077218e-09,4.389593615021843e-11,1.4206941329645523e-11,8.974763203456355e-13,4.2030330961542195e-12,5.602645825316912e-11,1.1243038748399146e-07,7.550763247673655e-07,0.000150379316285743
integrated_legendre,20,40,True,0.0017164049204438925,0.0017158940900117159,0.0034322990104556084,5.668309913671496e-10,8.874287081521531e-10,1.1309745138980956e-10,4.603884737156689e-11,7.128989395041026e-12,1.9007929438152486e-12,6.07051632059546e-11,1.1242758067499378e-07,7.551057575063239e-07,0.00015037936628382797
chebyshev,20,40,True,0.0004963329993188381,0.0010361699387431145,0.0015325029380619526,2.1543951329954343e-10,6.607990934769538e-10,8.775340471414262e-11,1.6496657361261572e-11,2.04942278875761e-12,1.1233012049484841e-11,5.6588679479384784e-11,1.1242493703938959e-07,7.551086526555612e-07,0.0001503793401518168
bspline_p3,19,38,True,0.0005038690287619829,0.00471899495460093,0.005222863983362913,1.6395265452566473e-07,6.551489247230463e-06,5.2863671259343613e-05,0.00021175228381338515,0.0006110684094235222,0.0014570079064381962,0.0030700538668566963,0.005934923916734986,0.010764979768372861,0.018573039483450907
monomial_raw,24,48,False,2.0079780369997025e-05,0.0004411330446600914,0.0004612128250300884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
monomial_orthonormalized,24,48,True,0.010437679942697287,0.000450588995590806,0.010888268938288093,1.2112267432943358e-06,1.8584121286835403e-05,3.753702923947638e-05,1.5092710622754497e-05,0.00047875362950128183,0.0493049123708421,0.46896192726792946,0.4319097049450061,0.38920944188494594,0.3530546969550988
shifted_legendre,24,48,True,0.0009144260548055172,0.0015567420050501823,0.0024711680598556995,1.1255204667861197e-09,3.0088436794559132e-09,6.555530175647785e-10,1.4465791238197945e-10,3.6608545460008946e-11,5.519368534270027e-12,2.741309688288219e-12,2.7075074116854198e-11,7.732638998821939e-11,6.25640870968953e-08
integrated_legendre,24,48,True,0.0023681609891355038,0.0022728180047124624,0.004640978993847966,7.232345993830122e-10,2.163216855947248e-09,1.2191975337728676e-09,1.6001195166702913e-10,2.1782061779364945e-12,2.2281217982642372e-12,2.160007420158717e-12,1.38831473710193e-11,6.782245676582882e-11,6.25004465811131e-08
chebyshev,24,48,True,0.0006576438900083303,0.0013102958910167217,0.001967939781025052,2.671901699786169e-09,8.039287516476735e-09,2.1969137194026418e-10,1.630837799409662e-11,7.569075205870143e-12,3.281990104560774e-11,5.865244480217107e-12,4.143735447314476e-12,6.361109124882117e-11,6.248277394230981e-08
bspline_p3,23,46,True,0.0005948280449956656,0.0071344198659062386,0.007729247910901904,7.334512061213181e-08,2.917313854100488e-06,2.3324407053099288e-05,9.218728158999673e-05,0.00026152082511759985,0.0006109193447957242,0.001257559394639257,0.002369884284910994,0.004185797865236556,0.00703576362132101
