k_hat,basis,n_dof,jump_capable,n_q_per_segment,cholesky_ok,seconds_construct,seconds_solve,seconds,e_lam_vs_uniform_mode1,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4,e_lam_mode5,e_lam_mode6
10.0,bspline_C0,12,True,24,True,0.00030982191674411297,0.0015932221431285143,0.0019030440598726273,0.17396519845546074,3.5033128149934783e-06,0.00017718252411394608,0.0013299977729715339,0.0047930459589096905,0.016834655940228982,0.0537312020846034
10.0,enriched_split,12,True,24,True,2.9166927561163902e-05,0.0003914542030543089,0.0004206211306154728,0.17396809227065124,3.992255784991096e-11,3.628181253925451e-10,7.36524568978559e-07,4.809951271098541e-06,0.00029956756380929877,0.03259441676720564
10.0,enriched_split_orthonormalized,12,True,24,True,0.021534941159188747,0.00038377405144274235,0.02191871521063149,0.17396809228418506,2.3538448098320283e-11,3.2723146189672784e-10,7.365058070169027e-07,4.756953250103144e-06,0.00029681681819380046,0.03256208455798317
10.0,hermite_fem_split_rotation,81,True,,True,1.0400544852018356e-06,0.0013712069485336542,0.001372247003018856,0.1739680975047682,6.2965359969950756e-09,2.626726083396071e-07,1.9532557331231715e-06,6.9469239920340365e-06,1.96238556925752e-05,4.686447680892502e-05
10.0,monomial_raw,16,False,32,False,9.519979357719421e-06,0.0006351959891617298,0.0006447159685194492,nan,nan,nan,nan,nan,nan,nan
10.0,monomial_orthonormalized,16,False,32,True,0.008867338998243213,0.0004808129742741585,0.009348151972517371,1.9649360506093828e-10,0.21060698851849735,0.001636781793352769,0.054758979699853425,0.13662441535468417,0.09709795289430177,0.023101333488737386
10.0,shifted_legendre,16,False,32,True,0.0004381411708891392,0.000982874073088169,0.0014210152439773083,1.1469436029623636e-10,0.2106069884194706,0.00163678156670742,0.05475897973867572,0.13662441534864161,0.09709795290923613,0.023101333291958216
10.0,integrated_legendre,16,False,32,True,0.0011622968595474958,0.0014149830676615238,0.0025772799272090197,1.7996558049441248e-10,0.21060698806275321,0.0016367809231544123,0.05475897971243805,0.1366244153588781,0.09709795291219019,0.023101333289833957
10.0,chebyshev,16,False,32,True,0.0003230869770050049,0.0008770981803536415,0.0012001851573586464,1.8508082628049162e-11,0.21060698830302682,0.0016367812805664222,0.05475897971967901,0.13662441533931996,0.0970979529101596,0.023101333288733244
10.0,bspline_C0,16,True,32,True,0.000392350135371089,0.002802013885229826,0.003194364020600915,0.17396752438939198,6.875209435580764e-07,3.341018451286726e-05,0.00024394372620111033,0.0008948171417433339,0.0030227023466354993,0.00886304607605111
10.0,enriched_split,16,True,32,False,2.9215821996331215e-05,0.0004750050138682127,0.0005042208358645439,nan,nan,nan,nan,nan,nan,nan
10.0,enriched_split_orthonormalized,16,True,32,True,0.010054450947791338,0.0004767330829054117,0.01053118403069675,0.17396809239983424,1.1646726357471585e-10,1.943378873681426e-10,4.8155500142435476e-08,1.323748189263429e-06,5.988600205638669e-06,7.5374068875035985e-06
10.0,hermite_fem_split_rotation,81,True,,True,1.0719522833824158e-06,0.0019197489600628614,0.0019208209123462439,0.1739680975047682,6.2965359969950756e-09,2.626726083396071e-07,1.9532557331231715e-06,6.9469239920340365e-06,1.96238556925752e-05,4.686447680892502e-05
10.0,monomial_raw,20,False,40,False,9.488081559538841e-06,0.0007791151292622089,0.0007886032108217478,nan,nan,nan,nan,nan,nan,nan
10.0,monomial_orthonormalized,20,False,40,True,0.010902013862505555,0.0006442039739340544,0.01154621783643961,1.4856355518909643e-10,0.21060698810076872,0.0016367806783292706,0.05475897958228891,0.13662441518911736,0.0970979507885681,0.023101153227262555
10.0,shifted_legendre,20,False,40,True,0.0006372770294547081,0.0013977191410958767,0.002034996170550585,3.541504834986156e-10,0.21060698785188375,0.0016367800659251037,0.05475897945185058,0.13662441531645772,0.09709795287430982,0.02310116467693835
10.0,integrated_legendre,20,False,40,True,0.0016731740906834602,0.0019431558903306723,0.0036163299810141325,1.2629451176987799e-09,0.21060698675169062,0.0016367790969757817,0.05475897975164618,0.13662441536965095,0.09709795288116918,0.023101164681892893
10.0,chebyshev,20,False,40,True,0.0004531650338321924,0.0012009369675070047,0.0016541020013391972,2.647068926618496e-10,0.2106069879601648,0.0016367805004500141,0.054758979793755096,0.13662441531663097,0.09709795287620651,0.023101164679096682
10.0,bspline_C0,20,True,40,True,0.0004811969120055437,0.00473569892346859,0.0052168958354741335,0.17396791306783238,2.1698410741139522e-07,1.0414597380845836e-05,7.643545053821413e-05,0.00028097720276575185,0.0008899881567041317,0.002384265649286309
10.0,enriched_split,20,True,40,False,3.7727877497673035e-05,0.0006281398236751556,0.0006658677011728287,nan,nan,nan,nan,nan,nan,nan
10.0,enriched_split_orthonormalized,20,True,40,True,0.010874622035771608,0.0006242359522730112,0.01149885798804462,0.1739680641426623,3.409186255287828e-08,1.5492739518459495e-08,1.677328188735516e-07,5.056663640229006e-07,5.436930183166096e-07,1.2246928092913103e-06
