arm,w_orth,seed,n_basis,corr_index,corr_eig_max,corr_eig_2nd,corr_ratio_2nd_to_max,corr_rank_1e12,offdiag_penalty,offdiag_penalty_max,offdiag_ratio,raw_index_confounded,eig_max,eig_2nd,eig_ratio_2nd_to_max,gram_trace,sum_sq_norms,norm_max_over_min,rank_1e12,seconds
d_neural_basis_galerkin(M=9),1000000.0,4,9,0.9845731567196425,8.861158410476783,0.13883165734665137,0.015667438828596836,5,69.53940260474351,72.0,0.9658250361769932,0.99999552112821,34.39134426578137,0.00015276147676650302,4.44185826485699e-06,34.39149830089293,34.39149830089293,272.07456334622606,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,5,9,0.9997242026926918,8.997517824234226,0.0024792052323034104,0.00027554324211793535,5,71.9553331438799,72.0,0.9993796269983319,0.9999963452565955,24.56807850421978,8.944440293887837e-05,3.640675558876756e-06,24.568168294570814,24.56816829457081,47.085451224026734,5,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,6,9,0.9999523486078776,8.999571137470898,0.0004287506321887848,4.7641229302985914e-05,5,71.99228084222639,72.0,0.9998927894753665,0.9999974062151977,35.073786469057964,9.087243310192124e-05,2.5908931498482134e-06,35.073877443148234,35.073877443148234,15.346577988592287,5,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,7,9,0.9999966081925155,8.999969473732639,3.0360377658785786e-05,3.3733867372990266e-06,5,71.99945052904108,72.0,0.9999923684589039,0.9999993285519714,63.507391397928885,4.23643143104105e-05,6.670769083390834e-07,63.507434039870276,63.50743403987027,10.97750017503551,5,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,8,9,0.9717202790741476,8.745482511667328,0.2545158343484515,0.029102549117090166,4,67.54824267181587,72.0,0.9381700371085537,0.9999969840582084,36.226329658688954,0.00010892084779983166,3.0066763270263234e-06,36.22643891552004,36.22643891552007,642.6875610368121,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,9,9,0.9999149207041815,8.999234286337634,0.0007531487246449153,8.369031194001949e-05,5,71.98621830778296,72.0,0.9998085876080967,0.9999975553123752,57.75736054105965,0.00014022065686871985,2.4277538924071356e-06,57.75750174010939,57.75750174010939,26.606709792713335,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,10,9,0.9993318665527635,8.993986798974872,0.005990987285390072,0.0006661103045062197,5,71.89183443255463,72.0,0.9984977004521477,0.999995335388198,35.646059071172346,0.00016575643883467338,4.650063517644895e-06,35.6462253469758,35.64622534697582,58.537181392087994,5,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,11,9,0.9999021022817719,8.999118920535947,0.0008806423747308577,9.785873289453214e-05,4,71.98414212147921,72.0,0.9997797516872112,0.9999927931194155,40.92273453773041,0.0002942474903771899,7.190318381727307e-06,40.923029465116926,40.92302946511695,7.519872052794662,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,12,9,0.9985931110020148,8.987337999018132,0.012646436927212224,0.0014071393474456896,5,71.77240424120266,72.0,0.9968389477944815,0.9999939329028943,35.509145700636566,0.00021444785623051551,6.039228823989172e-06,35.50936113937876,35.50936113937878,51.720190497056755,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,13,9,0.999966219878484,8.999695978906356,0.0003032502337496467,3.369560865838245e-05,5,71.99452780470435,72.0,0.9999239972875604,0.9999973720451842,54.059063683992946,0.00014191623724385497,2.625207089664722e-06,54.05920574914303,54.05920574914304,40.01312685749664,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,14,9,0.9999909991329877,8.99991899219689,7.437476812465296e-05,8.263937507563943e-06,5,71.99854187168182,72.0,0.9999797482178031,0.999999338381095,45.04380132544781,2.9362998852179355e-05,6.518765732054351e-07,45.043831127298034,45.04383112729802,30.03242365389926,4,298.21657834690996
d_neural_basis_galerkin(M=9),1000000.0,15,9,0.9996036720551077,8.99643304849597,0.0035556755886748293,0.00039523170677841814,5,71.93582023902559,72.0,0.9991086144309109,0.9999882407400603,21.566009830350183,0.000253170382386801,1.1739324259720514e-05,21.566263433647826,21.56626343364784,20.755823773240998,5,298.21657834690996
e_simultaneous_subspace,0.0,0,6,0.9747392866095357,5.848435719657214,0.15035446068163033,0.025708491618754225,6,28.226808226985014,30.0,0.9408936075661671,0.9851005261293736,0.5219970689700931,0.007829174205069915,0.014998502233962685,0.5298921837156131,0.5298921837156135,2.6939426252819514,6,213.72935747983865
e_simultaneous_subspace,0.0,1,6,0.9949494580865886,5.969696748519532,0.029857944535469517,0.005001584802925577,6,29.63817094471726,30.0,0.9879390314905753,0.9968071548099141,0.3364200600442511,0.0010654204757444604,0.0031669350383099035,0.33749763775361813,0.3374976377536182,3.264208267662754,6,213.72935747983865
e_simultaneous_subspace,0.0,2,6,0.9588574781830447,5.753144869098268,0.24601409405426494,0.04276167203361672,6,27.15919950435508,30.0,0.9053066501451693,0.9973852488076472,1.4423248159784734,0.0037453482740648996,0.0025967439737380202,1.446106023427499,1.4461060234274983,15.4310543459718,6,213.72935747983865
e_simultaneous_subspace,0.0,3,6,0.9661635636375988,5.796981381825593,0.19906209255269242,0.03433892218056486,6,27.6446293988831,30.0,0.9214876466294367,0.98397831909702,0.4289092224307756,0.006773407548056418,0.015792170449656445,0.43589296034934816,0.4358929603493482,5.577962023180791,6,213.72935747983865
e_simultaneous_subspace,0.0,4,6,0.7977356599915263,4.786413959949158,1.210595074603802,0.2529231873242867,6,18.37530741935963,30.0,0.6125102473119877,0.9587694223113037,0.22298200995928183,0.00955882507208472,0.04286814471638422,0.23257104864873507,0.232571048648735,6.055757691933472,6,213.72935747983865
e_simultaneous_subspace,0.0,5,6,0.9636225644514491,5.781735386708695,0.18589496473656364,0.032152105259591626,6,27.464012468720036,30.0,0.9154670822906679,0.9782142564044797,0.1982184901352722,0.004345194677407364,0.02192123789482015,0.2026330007332374,0.20263300073323742,23.402294582957357,6,213.72935747983865
e_simultaneous_subspace,0.0,6,6,0.8721702906600691,5.233021743960415,0.765813280415355,0.14634246098809026,6,21.970987521439824,30.0,0.7323662507146608,0.9870191949856562,0.6120780804177317,0.008031939266568793,0.013122409580632502,0.6201278389794909,0.6201278389794909,25.336399289197903,6,213.72935747983865
e_simultaneous_subspace,0.0,7,6,0.9805791940887905,5.883475164532743,0.11599742989747482,0.019715801741926307,6,28.62873564812685,30.0,0.954291188270895,0.9972230118091202,0.8049503743139614,0.0021811184195528878,0.002709630915336612,0.8071919367902012,0.8071919367902011,5.450292304058572,6,213.72935747983865
e_simultaneous_subspace,0.0,8,6,0.8206567005573117,4.92394020334387,1.0644552708121822,0.21617956897390952,6,19.37838399368324,30.0,0.6459461331227747,0.9842132179743921,0.27458175006293817,0.004335079329458967,0.015787936847460923,0.278986041894514,0.2789860418945137,13.907062086551045,6,213.72935747983865
e_simultaneous_subspace,0.0,9,6,0.9354471277946819,5.612682766768091,0.38649804540931326,0.06886155185853618,6,25.65158918922463,30.0,0.8550529729741544,0.9957160255379318,0.20638206995806302,0.0008536712898177829,0.004136363638523683,0.20727000938502108,0.20727000938502096,10.002838880623969,6,213.72935747983865
e_simultaneous_subspace,0.0,10,6,0.874379015133535,5.24627409080121,0.7459117311919012,0.14217932923096394,6,22.079832808952037,30.0,0.7359944269650679,0.9909847789509951,0.534452524034751,0.004839164736939472,0.009054433311320317,0.5393145640445604,0.5393145640445605,17.152483068333936,6,213.72935747983865
e_simultaneous_subspace,0.0,11,6,0.9319144246914791,5.5914865481488745,0.4069322364494636,0.07277711087120171,6,25.430317823113793,30.0,0.8476772607704598,0.9949378501040574,0.6981182695410406,0.003506998378339831,0.005023501792390299,0.7016702294198844,0.7016702294198846,8.782028939106665,6,213.72935747983865
e_simultaneous_subspace,0.0,12,6,0.8771315896235437,5.262789537741262,0.7319506113535513,0.13908035008895633,6,22.23273274183484,30.0,0.7410910913944947,0.9946498741761621,1.4826241359309738,0.007748739621225144,0.005226368189642032,1.49059902828519,1.490599028285189,43.26816061459476,6,213.72935747983865
e_simultaneous_subspace,0.0,13,6,0.9967556481191573,5.980533888714944,0.018241280437964188,0.0030501090333063473,6,29.76711938023494,30.0,0.992237312674498,0.996273606601771,0.8719157032095156,0.0031832564382909653,0.003650876370930608,0.8751769568437804,0.87517695684378,5.472575934588894,6,213.72935747983865
e_simultaneous_subspace,0.0,14,6,0.9715985243549478,5.829591146129687,0.1433630030513615,0.02459229120150928,6,28.00539838165243,30.0,0.9335132793884143,0.9890178021407013,0.30922339379154723,0.003375550323328338,0.010916219118932036,0.3126570554364561,0.31265705543645606,15.001387617949007,6,213.72935747983865
e_simultaneous_subspace,0.0,15,6,0.985430467443508,5.9125828046610485,0.08507990420802958,0.014389634279786965,6,28.965878090127816,30.0,0.9655292696709272,0.9930783508846353,0.875025158622666,0.006013109147027902,0.006871927152920769,0.881123989706545,0.881123989706545,5.428537342921005,6,213.72935747983865
