m,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
1,integrated_legendre,8,19183973.1774154,334.82720367953453,13679.693812169075,17293.028353169808,13.306937510639253,True,699930.7345368238,95.6457335868324,2.5467530554441734e-14,95.64573358680595,cholesky,2.7665229265758173e-13
1,chebyshev,8,150752.863749981,10995.976760416643,152902.4568249353,48.66340655256595,44.27178821350781,True,699930.7345381624,95.6457335869515,1.2597458972333709e-14,95.64573358680595,cholesky,1.5217361876471278e-12
1,bspline_p3,7,21.18433042187953,9373.905262668673,18.55984939841392,11718.941129590614,7512.7899221261305,True,97597.02531678215,95.6577851737786,4.773486146106582e-16,95.65778517361004,cholesky,1.7622105542772994e-12
1,radial_hermite_fem,80,3625666.647454619,169418071.81234762,29.17299554003553,112299304.49116245,15289733.044754751,True,850691299.0862056,95.64573773585019,6.809722907262935e-16,95.64573873975154,cholesky,1.0496038394186584e-08
1,monomial_raw,10,4186349411285620.0,9149231094111.066,2895481076347426.0,10793090767777.123,9641717155294.053,True,3110800.92208892,95.64573260314538,3.922667208888696e-15,95.64573260376494,cholesky,6.477705037192519e-12
1,monomial_orthonormalized,10,2.1060189247125853,3193905.542097747,2.0807938035773206,3997216.185443674,288.16750701196037,True,3133581.418950321,95.64573260441927,2.3106063562372972e-17,95.64573260373514,cholesky,7.152695036368233e-12
1,shifted_legendre,10,428047.1146550058,18219.557329762392,1122511.4633290234,193.6987677725701,215.12637564728647,True,3133581.421105002,95.6457326019731,1.2576289825264085e-13,95.64573260373515,cholesky,1.8422784494286422e-11
1,integrated_legendre,10,105076307.5740789,437.93791576047596,43938.42313689919,46773.65545983877,13.306937752315037,True,3133581.4210556573,95.64573260427343,4.98046708649873e-13,95.64573260373517,cholesky,5.627690116377298e-12
1,chebyshev,10,493546.0990693874,40865.946509230045,481848.71538301127,89.97647758862428,88.748654272019,True,3133581.4210661612,95.64573260368829,2.4859127777505135e-15,95.64573260373511,cholesky,4.895646152932705e-13
1,bspline_p3,9,22.259160656173545,26425.155204517338,19.163008354821173,36240.53996743527,18887.222047844785,True,303750.9199575186,95.649591790615,5.595305065302375e-16,95.6495917907824,cholesky,1.7500300268557496e-12
1,radial_hermite_fem,80,3625666.647454619,169418071.81234762,29.17299554003553,112299304.49116245,15289733.044754751,True,850691299.0862056,95.64573773585019,6.809722907262935e-16,95.64573873975154,cholesky,1.0496038394186584e-08
1,monomial_raw,12,1.1082702931859005e+17,1.1019277719643442e+16,7.43745103742027e+16,1.3070048810625368e+16,1.1035999890448288e+16,True,7805410.494280075,95.64573259627618,7.008536923578177e-15,95.64573259933326,cholesky,3.1962551969827364e-11
1,monomial_orthonormalized,12,2.169615405754276,11359950.024348041,2.149834193201268,14271965.719072882,553.8439434158887,True,10987301.788816629,95.64573260017141,9.89167099305989e-18,95.64573259951409,cholesky,6.872476868403516e-12
1,shifted_legendre,12,1160655.5935580817,53058.8450212598,3230277.4761258126,383.2124167718525,454.6932781338733,True,10987301.986578321,95.64573259672348,1.0807929630297443e-13,95.64573259951412,cholesky,2.91768624485109e-11
1,integrated_legendre,12,434041775.4076175,543.01482278179,115647.68065826107,103643.61371311445,13.306937753926643,True,10987301.986299075,95.64573259781196,1.5719275503084456e-12,95.64573259951416,cholesky,1.7796973824475393e-11
1,chebyshev,12,1326161.764359999,123647.33636271872,1245486.4772417685,149.4612929550098,157.95697817796136,True,10987301.986571675,95.64573260359137,8.290775179745131e-14,95.64573259951413,cholesky,4.2628523150224884e-11
1,bspline_p3,11,22.835738181459092,59671.67165953262,19.402029852071188,87569.61265772954,38639.787570953,True,735179.3475872922,95.64731774165543,3.233913978946646e-16,95.64731774100335,cholesky,6.8175385872030285e-12
1,radial_hermite_fem,80,3625666.647454619,169418071.81234762,29.17299554003553,112299304.49116245,15289733.044754751,True,850691299.0862056,95.64573773585019,6.809722907262935e-16,95.64573873975154,cholesky,1.0496038394186584e-08
1,monomial_raw,16,5.910426777615363e+17,6.667373805675137e+16,5.6548835338728704e+17,1.1888732992448346e+17,5.293686842699822e+16,False,nan,nan,nan,-11044615.14229427,general_pencil,nan
1,monomial_orthonormalized,16,2.2459579421506217,88178876.4947747,2.233049318178227,111252501.98192854,1680.3566688276326,True,83622588.07845984,95.64573261631054,1.9228043044950073e-17,95.6457325994978,cholesky,1.757813324120153e-10
1,shifted_legendre,16,5799153.769254457,304647.15811340825,17382448.225590006,1150.3319776377712,1512.091978442933,True,83624350.8863089,95.64573263667921,4.737822488966216e-13,95.64573259949778,cholesky,3.887411971838629e-10
1,integrated_legendre,16,4284091673.2719316,757.2944231395537,546608.6967212157,356098.2857061932,13.306937753936495,True,83624350.86209783,95.64573260024481,7.701699740044525e-13,95.64573259949782,cholesky,7.81000425008523e-12
