k_hat,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
10.0,enriched_split,12,1.1622066920705162e+16,7303513318498.172,7515267611663294.0,8650794211165.099,8128154745742.422,True,3919276.1328925854,10.2117065971819,9.616911235478704e-14,10.211706597001378,cholesky,1.7677972049947068e-11
10.0,enriched_split_orthonormalized,12,1.0021903499577771,3686012.8304310655,1.0011971787049014,3685987.741445818,219.86649199016614,True,3686000.235703374,10.21170659701459,2.9884742981673934e-17,10.211706597000026,cholesky,1.4262405199265458e-12
10.0,hermite_fem_split_rotation,81,1296196.1551142938,72565960.95896403,29.164828632867373,121901166.53900252,16186001.54239181,True,976211093.3745035,10.211706532475844,1.7087923721135278e-15,10.211706651698872,cholesky,1.1675132469139486e-08
10.0,monomial_raw,16,6.486799865407832e+17,8.12493078309227e+16,1.2905659158562472e+17,9.643677101121189e+17,1.8869597241026803e+17,False,nan,nan,nan,-208384.07156023337,general_pencil,nan
10.0,monomial_orthonormalized,16,1.0003060979790257,68101810.8868849,1.0003051962162093,68101287.36517115,1129.3619282540071,True,68101274.026461,12.362363370755315,3.394160859117106e-17,12.362363368326198,cholesky,1.9649288660735993e-10
10.0,shifted_legendre,16,4175067.666481988,334834.8664231176,14914989.857503658,860.1430549900907,1090.5087729877969,True,68101455.55399083,12.362363369744083,1.623842088355652e-13,12.36236336832619,cholesky,1.1469436029623636e-10
10.0,integrated_legendre,16,4548248526.547487,471.54417907876615,678628.2277562902,316128.6724842568,13.928203230275537,True,68101455.54973657,12.36236336610139,1.3089911322040873e-11,12.362363368326179,cholesky,1.799647183501188e-10
10.0,chebyshev,16,7490885.98124217,844826.6289592775,6056509.187028806,253.19328323789404,282.8883554262598,True,68101455.54981682,12.362363368554993,1.3242635239404427e-14,12.362363368326188,cholesky,1.8508226318764805e-11
10.0,bspline_C0,16,26.528324064564668,2101608.3723137314,20.308538483470333,4314478.409627546,79530.94882512595,True,22177474.95717385,10.211713617536377,3.73494000324262e-17,10.211713617256724,cholesky,2.73855734762318e-11
10.0,enriched_split,16,6.531149335784302e+17,1.2329163646588206e+18,4.5427847647310464e+17,7.202694124299981e+17,1.3329153517288225e+19,False,nan,nan,nan,-12366.95195117016,general_pencil,nan
10.0,enriched_split_orthonormalized,16,1.0038803543625274,35039569.27676606,1.0019476278913166,35038328.88129532,820.1958826368019,True,35038910.1988954,10.211706595584893,3.485181025564874e-17,10.211706596612435,cholesky,1.0062397365354603e-10
10.0,hermite_fem_split_rotation,81,1296196.1551142938,72565960.95896403,29.164828632867373,121901166.53900252,16186001.54239181,True,976211093.3745035,10.211706532475844,1.7087923721135278e-15,10.211706651698872,cholesky,1.1675132469139486e-08
10.0,monomial_raw,20,2.002973735770418e+18,5.143481692579785e+18,7.546961433926176e+17,3.7257035291035756e+18,2.7053051730784688e+17,False,nan,nan,nan,-27823889.942106154,general_pencil,nan
10.0,monomial_orthonormalized,20,1.3122461213544578,345100038.8409178,1.3121456441569848,344521966.41627586,2806.5469644918267,True,343021872.9191278,12.362363366489593,6.343993108328318e-18,12.362363368324958,cholesky,1.4846397752317247e-10
10.0,shifted_legendre,20,14205572.04434656,1327008.4295692854,54312681.36775506,2020.409071911582,2769.3209785250847,True,345597067.9251127,12.362363363948052,2.1481035005732984e-13,12.362363368326184,cholesky,3.5415005242646885e-10
10.0,integrated_legendre,20,28390076070.016968,593.2329994861896,2337161.5014931164,798072.271946299,13.928203230275495,True,345597068.24464566,12.362363352713203,9.191805953754367e-11,12.362363368326214,cholesky,1.2629471293687962e-09
10.0,chebyshev,20,26360575.066349555,3458416.1356095346,20703070.457544625,469.2845128617019,571.5715506496766,True,345597068.2141166,12.362363365053787,8.198417760114384e-14,12.362363368326191,cholesky,2.647070363525652e-10
10.0,bspline_C0,20,26.47483466691784,34046418.446023315,19.99733743691813,78706876.32457401,260224.59195590418,True,320449770.221264,10.211708812552263,9.651955761552992e-18,10.211708812737545,cholesky,1.8143988158543443e-11
10.0,enriched_split,20,4.0081644926590035e+17,1.4155770418742458e+17,1.643785339499449e+17,3.711610547872924e+17,2.4027039507180218e+17,False,nan,nan,nan,-1387778.2571482293,general_pencil,nan
10.0,enriched_split_orthonormalized,20,1.0134799668949805,203618806.8133357,1.0129632789939624,203589740.43968815,2292.0235393755593,True,203552124.23094425,10.21170694491032,1.034088102283594e-17,10.211706943894397,cholesky,9.948614379853289e-11
10.0,hermite_fem_split_rotation,81,1296196.1551142938,72565960.95896403,29.164828632867373,121901166.53900252,16186001.54239181,True,976211093.3745035,10.211706532475844,1.7087923721135278e-15,10.211706651698872,cholesky,1.1675132469139486e-08
10.0,monomial_raw,24,2.8255708746254454e+18,1.378372473373655e+18,5.725931393060782e+18,1.1612883193692697e+19,3.0624325295160586e+18,False,nan,nan,nan,-175586.4428406127,general_pencil,nan
10.0,monomial_orthonormalized,24,604.1924054139772,869974674.1303279,593.5896331754278,948709304.0586516,3895670.258936469,True,965094530.8536255,12.36234602563247,2.740830584818996e-17,12.362346004962422,cholesky,1.672016684810671e-09
10.0,shifted_legendre,24,39204001.99369421,4188471.1657719826,156855481.10940614,4092.7512479624925,5945.019956918333,True,1329520291.804018,12.362363359709628,2.0508808339810385e-13,12.362363368326186,cholesky,6.969992611399747e-10
10.0,integrated_legendre,24,129508460197.09302,714.9218198935797,6491745.025694254,1690313.9154671016,13.928203230275548,True,1329520296.1847177,12.36236338773153,1.13958842160861e-10,12.36236336832619,cholesky,1.5697112886635554e-09
10.0,chebyshev,24,74514841.9351708,11166805.185191171,57304596.159900434,781.4365448900516,1015.6169384096513,True,1329520294.42433,12.362363387187143,2.2188279680742373e-13,12.362363368326186,cholesky,1.525675688257713e-09
10.0,bspline_C0,23,26.486222397675043,1515088.0899777268,19.737050981342662,2198829.6015535006,375989.3966650284,True,16889923.17251017,10.211707503923718,1.1273333318829157e-16,10.211707503897655,cholesky,2.552237961940521e-12
10.0,enriched_split,24,2.5020996108487757e+18,8.37275343854612e+17,1.2969165499702666e+18,2.256402887070001e+19,7.208417226692749e+17,False,nan,nan,nan,-6980222.255262985,general_pencil,nan
10.0,enriched_split_orthonormalized,24,92.8391334868826,693194957.2863028,92.80569603332818,695592603.6675674,10443.011560679846,True,895227883.5723257,10.211691430528225,9.478844879143816e-18,10.211691427346715,cholesky,3.1155565060532934e-10
10.0,hermite_fem_split_rotation,81,1296196.1551142938,72565960.95896403,29.164828632867373,121901166.53900252,16186001.54239181,True,976211093.3745035,10.211706532475844,1.7087923721135278e-15,10.211706651698872,cholesky,1.1675132469139486e-08
100.0,monomial_raw,8,2133259516835.8428,5832933018.802865,1547857446821.9358,6950098132.065096,5933993514.7451315,True,543149.6886947288,12.362363368324935,1.0397404494260137e-15,12.362363368326214,cholesky,1.0345731526101758e-13
100.0,monomial_orthonormalized,8,1.0000000001350717,543164.412101713,1.0000000001350622,543164.4121019919,87.8003055902374,True,543164.4120980884,12.362363368329737,7.903493062761194e-18,12.362363368326221,cholesky,2.843639262521579e-13
100.0,shifted_legendre,8,109089.91238268255,6083.313358639364,279676.60236801533,67.78770328363132,65.89494466120645,True,543164.4120959464,12.362363368342468,2.0777424284099515e-14,12.362363368326223,cholesky,1.3140515945305626e-12
100.0,integrated_legendre,8,19061900.32760243,228.1665382639197,16173.75198865781,16145.767752373471,13.928203230275509,True,543164.4120979264,12.362363368313883,7.138424916535661e-14,12.362363368326221,cholesky,9.980757108375385e-13
100.0,chebyshev,8,170670.83982472512,13373.645038698183,150921.14320372915,39.442279532636384,32.95864996154468,True,543164.4120980127,12.362363368324589,1.4134446296419689e-15,12.362363368326221,cholesky,1.3205176767343765e-13
100.0,bspline_C0,8,26.617341618594853,122723.0191924236,22.814144012479467,147197.2063745137,4791.774185060001,True,856000.3308622682,12.107791745807138,9.27825370455878e-17,12.107791745811415,cholesky,3.5328219704105463e-13
100.0,enriched_split,8,9222354794.596657,8911537.61148168,7235645900.008482,10672704.66284573,9802310.649162346,True,507774.32499253243,12.10745706051067,2.490927487313148e-14,12.107457060497625,cholesky,1.0774818001311382e-12
100.0,enriched_split_orthonormalized,8,1.0009400652105769,508184.82725475536,1.0005525156217954,507810.01358818007,44.97372954213725,True,507774.34113382973,12.107457060493303,9.284054211228703e-18,12.107457060497632,cholesky,3.5754672479841805e-13
100.0,hermite_fem_split_rotation,81,1296196.1551142938,62132486.06652389,29.164828632867373,157856119.01886263,13652017.135021593,True,1494644972.721656,12.107457034420337,1.4701861694031625e-15,12.107457135526376,cholesky,8.35072451339516e-09
100.0,monomial_raw,12,3.023795205250497e+17,5713700659640837.0,8.652184482477536e+16,6701851394096556.0,6149378319290942.0,False,nan,12.362363368419103,2.5839289357101377e-14,12.362363368326186,cholesky,7.516173953712944e-12
100.0,monomial_orthonormalized,12,1.0000002819753677,8785065.990356179,1.0000002819328038,8785065.981094185,365.21867396646,True,8785065.964220922,12.362363368670676,4.020619374926933e-17,12.362363368326198,cholesky,2.786507833983e-11
100.0,shifted_legendre,12,890806.6729643898,60049.834018938025,2844700.988719922,292.2517145747741,332.2091390794235,True,8785065.98070808,12.362363368097867,7.58417866077193e-14,12.362363368326195,cholesky,1.846957351625755e-11
100.0,integrated_legendre,12,449931609.61248493,349.8553586713444,141133.69752795013,94144.90246396227,13.928203230275473,True,8785065.980848752,12.36236336854964,1.313519114474731e-12,12.362363368326202,cholesky,1.807413666681543e-11
100.0,chebyshev,12,1518996.9829343276,144128.45386184996,1279130.7087345899,115.68851201288123,114.72037157306637,True,8785065.980678093,12.36236336822623,1.8053464552517383e-14,12.362363368326195,cholesky,8.086195022658019e-12
100.0,bspline_C0,12,26.93777251604696,1997445.9173835986,21.18567520209512,3639344.7142852675,27509.81059899616,True,17728352.63984064,12.107507334462728,1.2902220875485428e-16,12.107507334193743,cholesky,2.2216367661948233e-11
100.0,enriched_split,12,1.1622066920705162e+16,7303513318498.171,7515267611663294.0,8650794211165.094,8128154745742.422,True,3327002.2111387383,12.10745705768108,1.3882184919620698e-14,12.107457057656655,cholesky,2.0173440570914383e-12
100.0,enriched_split_orthonormalized,12,1.0021903499577771,3115643.970390294,1.0011971787049014,3115613.07310344,201.77453423678278,True,3115587.1640129783,12.107457057665624,1.2475446184488618e-17,12.107457057656474,cholesky,7.557337627693203e-13
100.0,hermite_fem_split_rotation,81,1296196.1551142938,62132486.06652389,29.164828632867373,157856119.01886263,13652017.135021593,True,1494644972.721656,12.107457034420337,1.4701861694031625e-15,12.107457135526376,cholesky,8.35072451339516e-09
100.0,monomial_raw,16,6.486799865407832e+17,8.12493078309227e+16,1.2905659158562472e+17,9.643677101121189e+17,1.8869597241026803e+17,False,nan,nan,nan,-208384.07156023337,general_pencil,nan
100.0,monomial_orthonormalized,16,1.0003060979790257,68101810.8868849,1.0003051962162093,68101287.36517115,1129.3619282540071,True,68101274.026461,12.362363370755315,3.394160859117106e-17,12.362363368326198,cholesky,1.9649288660735993e-10
100.0,shifted_legendre,16,4175067.666481988,334834.8664231176,14914989.857503658,860.1430549900907,1090.5087729877969,True,68101455.55399083,12.362363369744083,1.623842088355652e-13,12.36236336832619,cholesky,1.1469436029623636e-10
100.0,integrated_legendre,16,4548248526.547487,471.54417907876615,678628.2277562902,316128.6724842568,13.928203230275537,True,68101455.54973657,12.36236336610139,1.3089911322040873e-11,12.362363368326179,cholesky,1.799647183501188e-10
100.0,chebyshev,16,7490885.98124217,844826.6289592775,6056509.187028806,253.19328323789404,282.8883554262598,True,68101455.54981682,12.362363368554993,1.3242635239404427e-14,12.362363368326188,cholesky,1.8508226318764805e-11
100.0,bspline_C0,16,26.528324064564668,6241515.583376461,20.308538483470333,13022172.974391075,86133.16268786954,True,62964811.914309196,12.107466923941844,4.2335044357669854e-17,12.107466924435412,cholesky,4.0765575188860814e-11
100.0,enriched_split,16,6.531149335784302e+17,1.2329163646588209e+18,4.5427847647310464e+17,7.202694124299981e+17,1.3329153517288225e+19,False,nan,nan,nan,-12366.953230585368,general_pencil,nan
100.0,enriched_split_orthonormalized,16,1.0038803543625274,29594649.851764306,1.0019476278913166,29593287.39445751,720.8985044360554,True,29593846.20387895,12.107457057824483,1.3633648509172197e-17,12.10745705762754,cholesky,1.62662486011788e-11
100.0,hermite_fem_split_rotation,81,1296196.1551142938,62132486.06652389,29.164828632867373,157856119.01886263,13652017.135021593,True,1494644972.721656,12.107457034420337,1.4701861694031625e-15,12.107457135526376,cholesky,8.35072451339516e-09
100.0,monomial_raw,20,2.002973735770418e+18,5.143481692579785e+18,7.546961433926176e+17,3.7257035291035756e+18,2.7053051730784688e+17,False,nan,nan,nan,-27823889.942106154,general_pencil,nan
100.0,monomial_orthonormalized,20,1.3122461213544578,345100038.8409178,1.3121456441569848,344521966.41627586,2806.5469644918267,True,343021872.9191278,12.362363366489593,6.343993108328318e-18,12.362363368324958,cholesky,1.4846397752317247e-10
100.0,shifted_legendre,20,14205572.04434656,1327008.4295692854,54312681.36775506,2020.409071911582,2769.3209785250847,True,345597067.9251127,12.362363363948052,2.1481035005732984e-13,12.362363368326184,cholesky,3.5415005242646885e-10
100.0,integrated_legendre,20,28390076070.016968,593.2329994861896,2337161.5014931164,798072.271946299,13.928203230275495,True,345597068.24464566,12.362363352713203,9.191805953754367e-11,12.362363368326214,cholesky,1.2629471293687962e-09
100.0,chebyshev,20,26360575.066349555,3458416.1356095346,20703070.457544625,469.2845128617019,571.5715506496766,True,345597068.2141166,12.362363365053787,8.198417760114384e-14,12.362363368326191,cholesky,2.647070363525652e-10
100.0,bspline_C0,20,26.47483466691784,52732870.02068073,19.99733743691813,122461059.27979626,323029.8077814512,True,496399823.9637665,12.107460174111598,4.966762112247491e-17,12.107460172340579,cholesky,1.4627501242116286e-10
100.0,enriched_split,20,4.0081644926590035e+17,1.4155770418742458e+17,1.643785339499449e+17,3.711610547872924e+17,2.4027039507180218e+17,False,nan,nan,nan,-1388285.1481447222,general_pencil,nan
100.0,enriched_split_orthonormalized,20,1.0134799668949805,171956978.6430911,1.0129632789939624,171930301.03595918,1963.878082384687,True,171898665.41495514,12.107457101659742,2.875809617163544e-17,12.107457106590738,cholesky,4.072693392598771e-10
100.0,hermite_fem_split_rotation,81,1296196.1551142938,62132486.06652389,29.164828632867373,157856119.01886263,13652017.135021593,True,1494644972.721656,12.107457034420337,1.4701861694031625e-15,12.107457135526376,cholesky,8.35072451339516e-09
100.0,monomial_raw,24,2.8255708746254454e+18,1.378372473373655e+18,5.725931393060782e+18,1.1612883193692697e+19,3.0624325295160586e+18,False,nan,nan,nan,-175586.4428406127,general_pencil,nan
100.0,monomial_orthonormalized,24,604.1924054139772,869974674.1303279,593.5896331754278,948709304.0586516,3895670.258936469,True,965094530.8536255,12.36234602563247,2.740830584818996e-17,12.362346004962422,cholesky,1.672016684810671e-09
100.0,shifted_legendre,24,39204001.99369421,4188471.1657719826,156855481.10940614,4092.7512479624925,5945.019956918333,True,1329520291.804018,12.362363359709628,2.0508808339810385e-13,12.362363368326186,cholesky,6.969992611399747e-10
