family,solver,mode,e_lam_source,size_label,size,iterations,e_lam,p_correct,seconds_reported,seconds_per_attempt,accounting,E_T_success,factorization_ok,ensemble_seconds,seconds_per_attempt_min,seconds_per_attempt_max
classical,monomial_raw,2,p1_basis_study.csv,n_dof,16,,nan,0.0,0.0002707340754568577,0.0002707340754568577,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_raw,3,p1_basis_study.csv,n_dof,16,,nan,0.0,0.0002707340754568577,0.0002707340754568577,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_orthonormalized,1,p1_basis_study.csv,n_dof,16,,6.0348519971055e-11,1.0,0.01446599094197154,0.01446599094197154,single deterministic solve (numpy/CPU),0.01446599094197154,True,,,
classical,monomial_orthonormalized,2,p1_basis_study.csv,n_dof,16,,1.659286990304745e-10,1.0,0.01446599094197154,0.01446599094197154,single deterministic solve (numpy/CPU),0.01446599094197154,True,,,
classical,monomial_orthonormalized,3,p1_basis_study.csv,n_dof,16,,1.9782732771413542e-11,1.0,0.01446599094197154,0.01446599094197154,single deterministic solve (numpy/CPU),0.01446599094197154,True,,,
classical,shifted_legendre,1,p1_basis_study.csv,n_dof,16,,4.0048039356108704e-11,1.0,0.0012546798679977655,0.0012546798679977655,single deterministic solve (numpy/CPU),0.0012546798679977655,True,,,
classical,shifted_legendre,2,p1_basis_study.csv,n_dof,16,,1.2352386431384756e-10,1.0,0.0012546798679977655,0.0012546798679977655,single deterministic solve (numpy/CPU),0.0012546798679977655,True,,,
classical,shifted_legendre,3,p1_basis_study.csv,n_dof,16,,2.3965425725867064e-11,1.0,0.0012546798679977655,0.0012546798679977655,single deterministic solve (numpy/CPU),0.0012546798679977655,True,,,
classical,integrated_legendre,1,p1_basis_study.csv,n_dof,16,,2.041130926391966e-10,1.0,0.002437009010463953,0.002437009010463953,single deterministic solve (numpy/CPU),0.002437009010463953,True,,,
classical,integrated_legendre,2,p1_basis_study.csv,n_dof,16,,3.3926701053256884e-10,1.0,0.002437009010463953,0.002437009010463953,single deterministic solve (numpy/CPU),0.002437009010463953,True,,,
classical,integrated_legendre,3,p1_basis_study.csv,n_dof,16,,3.876027445082958e-12,1.0,0.002437009010463953,0.002437009010463953,single deterministic solve (numpy/CPU),0.002437009010463953,True,,,
classical,chebyshev,1,p1_basis_study.csv,n_dof,16,,8.360787980246641e-12,1.0,0.0010229849722236395,0.0010229849722236395,single deterministic solve (numpy/CPU),0.0010229849722236395,True,,,
classical,chebyshev,2,p1_basis_study.csv,n_dof,16,,4.703572543370525e-11,1.0,0.0010229849722236395,0.0010229849722236395,single deterministic solve (numpy/CPU),0.0010229849722236395,True,,,
classical,chebyshev,3,p1_basis_study.csv,n_dof,16,,3.0592124520095807e-11,1.0,0.0010229849722236395,0.0010229849722236395,single deterministic solve (numpy/CPU),0.0010229849722236395,True,,,
classical,bspline_p3,1,p1_basis_study.csv,n_dof,15,,4.487887076612541e-07,1.0,0.003062492934986949,0.003062492934986949,single deterministic solve (numpy/CPU),0.003062492934986949,True,,,
classical,bspline_p3,2,p1_basis_study.csv,n_dof,15,,1.81224970129032e-05,1.0,0.003062492934986949,0.003062492934986949,single deterministic solve (numpy/CPU),0.003062492934986949,True,,,
classical,bspline_p3,3,p1_basis_study.csv,n_dof,15,,0.0001488116204472767,1.0,0.003062492934986949,0.003062492934986949,single deterministic solve (numpy/CPU),0.003062492934986949,True,,,
classical,monomial_raw,1,p1_basis_study.csv,n_dof,20,,nan,0.0,0.0003418060950934887,0.0003418060950934887,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_raw,2,p1_basis_study.csv,n_dof,20,,nan,0.0,0.0003418060950934887,0.0003418060950934887,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_raw,3,p1_basis_study.csv,n_dof,20,,nan,0.0,0.0003418060950934887,0.0003418060950934887,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_orthonormalized,1,p1_basis_study.csv,n_dof,20,,8.324142537036894e-10,1.0,0.014358664164319634,0.014358664164319634,single deterministic solve (numpy/CPU),0.014358664164319634,True,,,
classical,monomial_orthonormalized,2,p1_basis_study.csv,n_dof,20,,3.911103671552769e-09,1.0,0.014358664164319634,0.014358664164319634,single deterministic solve (numpy/CPU),0.014358664164319634,True,,,
classical,monomial_orthonormalized,3,p1_basis_study.csv,n_dof,20,,9.1741604596576e-09,1.0,0.014358664164319634,0.014358664164319634,single deterministic solve (numpy/CPU),0.014358664164319634,True,,,
classical,shifted_legendre,1,p1_basis_study.csv,n_dof,20,,4.260531739143073e-10,1.0,0.0018301650416105986,0.0018301650416105986,single deterministic solve (numpy/CPU),0.0018301650416105986,True,,,
classical,shifted_legendre,2,p1_basis_study.csv,n_dof,20,,1.228010501077218e-09,1.0,0.0018301650416105986,0.0018301650416105986,single deterministic solve (numpy/CPU),0.0018301650416105986,True,,,
classical,shifted_legendre,3,p1_basis_study.csv,n_dof,20,,4.389593615021843e-11,1.0,0.0018301650416105986,0.0018301650416105986,single deterministic solve (numpy/CPU),0.0018301650416105986,True,,,
classical,integrated_legendre,1,p1_basis_study.csv,n_dof,20,,5.668309913671496e-10,1.0,0.0034322990104556084,0.0034322990104556084,single deterministic solve (numpy/CPU),0.0034322990104556084,True,,,
classical,integrated_legendre,2,p1_basis_study.csv,n_dof,20,,8.874287081521531e-10,1.0,0.0034322990104556084,0.0034322990104556084,single deterministic solve (numpy/CPU),0.0034322990104556084,True,,,
classical,integrated_legendre,3,p1_basis_study.csv,n_dof,20,,1.1309745138980956e-10,1.0,0.0034322990104556084,0.0034322990104556084,single deterministic solve (numpy/CPU),0.0034322990104556084,True,,,
classical,chebyshev,1,p1_basis_study.csv,n_dof,20,,2.1543951329954343e-10,1.0,0.0015325029380619526,0.0015325029380619526,single deterministic solve (numpy/CPU),0.0015325029380619526,True,,,
classical,chebyshev,2,p1_basis_study.csv,n_dof,20,,6.607990934769538e-10,1.0,0.0015325029380619526,0.0015325029380619526,single deterministic solve (numpy/CPU),0.0015325029380619526,True,,,
classical,chebyshev,3,p1_basis_study.csv,n_dof,20,,8.775340471414262e-11,1.0,0.0015325029380619526,0.0015325029380619526,single deterministic solve (numpy/CPU),0.0015325029380619526,True,,,
classical,bspline_p3,1,p1_basis_study.csv,n_dof,19,,1.6395265452566473e-07,1.0,0.005222863983362913,0.005222863983362913,single deterministic solve (numpy/CPU),0.005222863983362913,True,,,
classical,bspline_p3,2,p1_basis_study.csv,n_dof,19,,6.551489247230463e-06,1.0,0.005222863983362913,0.005222863983362913,single deterministic solve (numpy/CPU),0.005222863983362913,True,,,
classical,bspline_p3,3,p1_basis_study.csv,n_dof,19,,5.2863671259343613e-05,1.0,0.005222863983362913,0.005222863983362913,single deterministic solve (numpy/CPU),0.005222863983362913,True,,,
classical,monomial_raw,1,p1_basis_study.csv,n_dof,24,,nan,0.0,0.0004612128250300884,0.0004612128250300884,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_raw,2,p1_basis_study.csv,n_dof,24,,nan,0.0,0.0004612128250300884,0.0004612128250300884,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_raw,3,p1_basis_study.csv,n_dof,24,,nan,0.0,0.0004612128250300884,0.0004612128250300884,single deterministic solve (numpy/CPU),inf,False,,,
classical,monomial_orthonormalized,1,p1_basis_study.csv,n_dof,24,,1.2112267432943358e-06,1.0,0.010888268938288093,0.010888268938288093,single deterministic solve (numpy/CPU),0.010888268938288093,True,,,
classical,monomial_orthonormalized,2,p1_basis_study.csv,n_dof,24,,1.8584121286835403e-05,1.0,0.010888268938288093,0.010888268938288093,single deterministic solve (numpy/CPU),0.010888268938288093,True,,,
classical,monomial_orthonormalized,3,p1_basis_study.csv,n_dof,24,,3.753702923947638e-05,1.0,0.010888268938288093,0.010888268938288093,single deterministic solve (numpy/CPU),0.010888268938288093,True,,,
classical,shifted_legendre,1,p1_basis_study.csv,n_dof,24,,1.1255204667861197e-09,1.0,0.0024711680598556995,0.0024711680598556995,single deterministic solve (numpy/CPU),0.0024711680598556995,True,,,
classical,shifted_legendre,2,p1_basis_study.csv,n_dof,24,,3.0088436794559132e-09,1.0,0.0024711680598556995,0.0024711680598556995,single deterministic solve (numpy/CPU),0.0024711680598556995,True,,,
classical,shifted_legendre,3,p1_basis_study.csv,n_dof,24,,6.555530175647785e-10,1.0,0.0024711680598556995,0.0024711680598556995,single deterministic solve (numpy/CPU),0.0024711680598556995,True,,,
classical,integrated_legendre,1,p1_basis_study.csv,n_dof,24,,7.232345993830122e-10,1.0,0.004640978993847966,0.004640978993847966,single deterministic solve (numpy/CPU),0.004640978993847966,True,,,
classical,integrated_legendre,2,p1_basis_study.csv,n_dof,24,,2.163216855947248e-09,1.0,0.004640978993847966,0.004640978993847966,single deterministic solve (numpy/CPU),0.004640978993847966,True,,,
classical,integrated_legendre,3,p1_basis_study.csv,n_dof,24,,1.2191975337728676e-09,1.0,0.004640978993847966,0.004640978993847966,single deterministic solve (numpy/CPU),0.004640978993847966,True,,,
classical,chebyshev,1,p1_basis_study.csv,n_dof,24,,2.671901699786169e-09,1.0,0.001967939781025052,0.001967939781025052,single deterministic solve (numpy/CPU),0.001967939781025052,True,,,
classical,chebyshev,2,p1_basis_study.csv,n_dof,24,,8.039287516476735e-09,1.0,0.001967939781025052,0.001967939781025052,single deterministic solve (numpy/CPU),0.001967939781025052,True,,,
classical,chebyshev,3,p1_basis_study.csv,n_dof,24,,2.1969137194026418e-10,1.0,0.001967939781025052,0.001967939781025052,single deterministic solve (numpy/CPU),0.001967939781025052,True,,,
classical,bspline_p3,1,p1_basis_study.csv,n_dof,23,,7.334512061213181e-08,1.0,0.007729247910901904,0.007729247910901904,single deterministic solve (numpy/CPU),0.007729247910901904,True,,,
