m,basis,n_dof,cholesky_ok,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4
2,chebyshev,10,True,0.0006811169441789389,5.769180040598385e-10,1.3363048693158232e-09,3.620164029643593e-09,2.2529408904660736e-05
2,bspline_p3,9,True,0.0019028049428015947,8.506068344153247e-05,0.00028673532355928845,0.0016741747166044043,0.007219023669282096
2,radial_hermite_fem,80,True,0.332408461952582,1.2906961596768073e-07,4.4818208402659643e-07,2.298287175107237e-06,8.165671776643674e-06
2,monomial_raw,12,True,0.00035231816582381725,3.786859473107326e-11,1.0801965575670694e-10,1.2815568314676873e-09,2.712805822769527e-07
2,monomial_orthonormalized,12,True,0.0005329730920493603,1.1335122110907034e-11,2.192994643298943e-11,6.593083971770853e-11,1.013621484764962e-07
2,shifted_legendre,12,True,0.0008547480683773756,2.015537973337257e-11,3.9057254267930505e-11,6.026029047357074e-11,1.0136127658515058e-07
2,integrated_legendre,12,True,0.0013508088886737823,2.698095213290342e-12,5.992906139311191e-12,6.445655427942486e-11,1.0136201792241209e-07
2,chebyshev,12,True,0.0007516441401094198,7.455143142559364e-12,1.1643614999843357e-11,6.91353003264071e-11,1.0136232998384932e-07
2,bspline_p3,11,True,0.0018903098534792662,3.509860217554425e-05,0.00011710875224773777,0.0006517723207035124,0.0026418030829020744
2,radial_hermite_fem,80,True,0.05569539591670036,1.2906961596768073e-07,4.4818208402659643e-07,2.298287175107237e-06,8.165671776643674e-06
2,monomial_raw,16,False,0.0003626218531280756,nan,nan,nan,nan
2,monomial_orthonormalized,16,True,0.0005140290595591068,1.1112031866436225e-10,2.0438474768523647e-10,1.588073394429136e-11,2.4354787851019276e-12
2,shifted_legendre,16,True,0.0013005051296204329,2.423716318785662e-11,6.299157857949491e-11,1.3586126258246735e-11,1.6595895214275414e-12
2,integrated_legendre,16,True,0.0019850139506161213,5.0259800397887675e-11,1.6250696389444133e-10,2.6731360039674895e-11,3.8232446439738705e-12
2,chebyshev,16,True,0.0011242020409554243,1.0691478610093177e-10,1.830068820029887e-10,1.038514853621448e-12,4.288384571774158e-13
2,bspline_p3,15,True,0.003353406209498644,9.142724524266423e-06,3.0322969883712313e-05,0.00016194631638073796,0.0006176866188218123
2,radial_hermite_fem,80,True,0.11746686417609453,1.2906961596768073e-07,4.4818208402659643e-07,2.298287175107237e-06,8.165671776643674e-06
3,monomial_raw,6,True,0.0002613749820739031,3.013364371538151e-05,0.0001490018787873578,0.0005747695841311836,0.0930989144445316
3,monomial_orthonormalized,6,True,0.00023842998780310154,3.013364378639383e-05,0.00014900187857167836,0.0005747695950805358,0.09309891306533058
3,shifted_legendre,6,True,0.0003880457952618599,3.013364357863877e-05,0.00014900187789281604,0.0005747695950165974,0.0930989130653899
3,integrated_legendre,6,True,0.0006248769350349903,3.0133643649533717e-05,0.0001490018780703068,0.0005747695950092057,0.09309891306544116
3,chebyshev,6,True,0.00040054204873740673,3.0133643591197975e-05,0.00014900187796890415,0.0005747695950633501,0.0930989130653006
3,bspline_p3,5,True,0.0006281409878283739,0.0014785277151619972,0.004784949878823714,0.034256639371350574,0.05430374645939931
3,radial_hermite_fem,80,True,0.05380835710093379,1.8411947113912868e-07,5.203355932944919e-07,2.28667532658539e-06,7.963834061634386e-06
3,monomial_raw,8,True,0.000246893847361207,3.45850169771239e-07,5.57059937457497e-07,7.741705478111252e-06,0.002917407060243149
3,monomial_orthonormalized,8,True,0.00025553489103913307,3.4584984018015914e-07,5.57059518249529e-07,7.741907471410751e-06,0.0029174165105077406
3,shifted_legendre,8,True,0.00047081313095986843,3.4585002457744774e-07,5.57060158199857e-07,7.741907651399091e-06,0.0029174165101811707
3,integrated_legendre,8,True,0.0007874360308051109,3.458498804400382e-07,5.570594067211151e-07,7.741907360534978e-06,0.002917416510159468
